Date,Province,District,Rainfall_mm,Temp_Max_C,Temp_Min_C,Humidity_pct,Evapotranspiration_mm,WindSpeed_mps,SolarRadiation_Wm2,SoilMoisture_pct,NDVI,SPI,SPEI,PDSI,DroughtSeverity
01/01/2015,Copperbelt,Ndola,12,29.6,20.4,47.8,3.6,1.2,266.6,28,0.51,-0.7,-0.59,-0.84,Moderate
02/01/2015,Eastern,Msekera,3.4,30.9,23.3,62.8,6.1,1.8,231.4,27.8,0.31,-1.73,-1.65,-1.91,Severe
03/01/2015,Southern,Choma,14.9,26.3,17.7,67.3,3.7,4.9,257.5,38.2,0.57,1.11,1.14,1.08,No drought
04/01/2015,Central,Kabwe,10.8,24.7,14.1,43.7,6.9,4.1,199.9,10.2,0.54,1.55,1.74,1.3,No drought
05/01/2015,Western,Mongu,3,26.4,16.9,84.4,4.9,1.5,251.3,32.8,0.47,-0.05,0.26,-0.84,Moderate
06/01/2015,Southern,Livingstone,8.9,24,17.3,60.5,6,1.9,187.7,18.7,0.35,1.37,1.44,1.21,No drought
07/01/2015,Lusaka,Lusaka,4.6,29,21,80.9,6.4,1,231.1,22.5,0.37,-0.51,-0.67,-0.56,Moderate
08/01/2015,Muchinga,Mpika,1.1,29.9,24.6,70.5,5,1.2,207.9,37.2,0.37,-0.05,-0.28,0.29,No drought
09/01/2015,Muchinga,Chinsali,12.7,36.6,25.8,56,3.7,1.2,239.1,30.3,0.3,-2.33,-2.32,-2.65,Severe
10/01/2015,Muchinga,Mpika,4.2,29,17.9,52.9,5.6,4.3,235.5,25.9,0.37,0.39,0.55,0.02,No drought
11/01/2015,Central,Serenje,4.7,30.7,19.4,70.3,3,1.4,246.4,10.2,0.35,2.8,2.89,2.44,No drought
12/01/2015,Northern,Kasama,16.2,31.2,22.2,44.7,4.5,2.1,204.4,39.2,0.42,0.42,0.59,0.42,No drought
13/01/2015,Western,Senanga,3.2,31.4,19.7,85.7,4.5,1.1,272.8,22.8,0.59,-1.27,-1.57,-1.4,Moderate
14/01/2015,Copperbelt,Ndola,3.8,30.5,18.6,47,5.1,4.5,254.1,30.9,0.51,-2.07,-2.26,-1.92,Severe
15/01/2015,Copperbelt,Ndola,12.6,33.4,22.8,84.5,4.4,2.5,189.4,27.3,0.31,3.47,3.1,3.68,No drought
16/01/2015,North-Western,Zambezi,8.8,26.8,20.3,71.1,3.3,1.2,233.1,26.2,0.49,-3.04,-3,-3.24,Severe
17/01/2015,Luapula,Kawambwa,12,32.6,26.4,47.8,4,3.2,251.5,29.8,0.38,3.18,3.39,2.72,No drought
18/01/2015,Copperbelt,Kafironda,11.5,32.3,26.6,64.6,4.9,1.7,223.4,22,0.48,-0.66,-0.63,-0.23,Moderate
19/01/2015,Luapula,Mansa,9.7,28.2,19.1,87,5.3,2.6,244.3,23.7,0.46,-0.23,-0.11,-0.15,No drought
20/01/2015,Southern,Magoye,5.1,32.5,22.6,71.4,6.5,3.9,260.3,18.5,0.35,1.12,1.24,1.11,No drought
21/01/2015,Central,Kabwe,7,33.3,23,45.2,6.6,3,262.6,19.6,0.57,0.49,0.46,0.52,No drought
22/01/2015,Northern,Mbala,18.3,32.4,21.9,44.6,5,1.2,235,23.2,0.57,-1.24,-1.3,-1.12,Moderate
23/01/2015,Western,Senanga,5.6,30.7,18.8,58.7,4.5,4.3,274.7,39.6,0.53,-1.08,-1.12,-0.99,Moderate
24/01/2015,Northern,Misamfu,8.2,29.1,23.3,45.9,5.6,4,238.3,38.9,0.41,1.04,0.96,1.11,No drought
25/01/2015,Eastern,Chipata,21.6,32.9,23.5,69.2,6.6,1.2,208.1,38.5,0.57,3.28,3.12,3.03,No drought
26/01/2015,Western,Sesheke,10.7,35.6,24.9,74.2,3.7,4.6,262.3,38.5,0.52,-1.98,-1.61,-1.63,Severe
27/01/2015,Luapula,Mansa,7.6,33.7,26.8,42.8,6.5,4.3,280,39.9,0.47,-0.68,-0.56,-1,Moderate
28/01/2015,Central,Kabwe,1.8,33.8,24.1,66,6.1,3.1,265.2,26.6,0.47,-0.37,-0.18,-0.18,No drought
29/01/2015,Northern,Misamfu,17.2,24.7,16.6,85.2,4.4,3.1,258.4,21.9,0.49,-2.56,-2.57,-2.44,Severe
30/01/2015,Western,Sesheke,10.9,27.2,19.8,84.8,4.9,3.7,197.2,15.8,0.31,-0.8,-0.96,-0.83,Moderate
31/01/2015,Southern,Choma,4.6,30.6,19.2,43.1,4.1,4.2,254.8,15.5,0.36,-0.41,-0.87,-0.86,Moderate
01/02/2015,Southern,Siavonga,12.6,30.9,22.2,45.4,4.8,3.1,204.2,18.1,0.41,-0.97,-1.19,-0.46,Moderate
02/02/2015,Northern,Kasama,22.5,31.6,25.7,54.2,4.5,3.6,237.1,20.7,0.6,-2.1,-1.99,-2.3,Severe
03/02/2015,Lusaka,Mount Makulu,8.7,27.5,15.6,45.6,4.6,4.9,266.6,34.5,0.38,0.75,0.55,0.78,No drought
04/02/2015,Copperbelt,Kafironda,4.3,24.6,17.9,45.7,5.4,2.2,238.1,14.6,0.44,-0.98,-0.97,-1.24,Moderate
05/02/2015,Southern,Magoye,15,26.6,17.4,63.6,4.6,2.4,273,34.9,0.59,0.56,0.44,0.59,No drought
06/02/2015,Eastern,Msekera,5.6,28.7,18,73.3,5.1,2.4,267.7,21.8,0.54,-3.06,-3.26,-3.62,Severe
07/02/2015,Western,Senanga,14.9,23.4,14,45.8,6.8,3.5,213.5,14.2,0.54,0.95,1.4,1,No drought
08/02/2015,Muchinga,Mpika,8.8,28.6,17.5,57.1,6.3,1.4,264.6,13.8,0.42,-0.67,-0.59,-0.44,Moderate
09/02/2015,Western,Mongu,4.3,26.3,14.9,69.2,4.6,2.8,274.7,14.6,0.48,3.67,3.7,3.7,No drought
10/02/2015,Copperbelt,Kafironda,27.3,34,23.8,86.7,6.7,2.8,191.3,39.5,0.55,0.08,0.3,-0.43,No drought
11/02/2015,North-Western,Kabompo,3.4,25,13.6,57.3,4.4,4,225.2,16.7,0.44,-0.37,-0.42,-1.18,Moderate
12/02/2015,Western,Sesheke,6.7,26.7,14.7,65.1,5.4,1.3,255,16.3,0.57,-0.86,-0.97,-0.87,Moderate
13/02/2015,Luapula,Kawambwa,0.3,33.3,24.4,47.8,3.7,4.4,274.6,21.2,0.38,-1.67,-1.32,-1.39,Severe
14/02/2015,Muchinga,Mpika,5.4,31.5,24.8,45,4,3.9,265.6,34.9,0.42,-1.62,-1.5,-1.44,Severe
15/02/2015,Luapula,Mansa,10.6,26.2,15,80.9,4.4,2,218,27.7,0.38,-1.92,-1.57,-2.54,Severe
16/02/2016,Western,Kaoma,8.1,33.3,22.7,61.3,3.1,2.1,234.2,29,0.38,0.26,0.22,0.27,No drought
17/02/2016,Copperbelt,Kafironda,9.7,27.1,18.2,72.6,6.3,1.8,181.1,14.1,0.57,0.38,0.58,0.88,No drought
18/02/2016,Central,Mkushi,4.9,30.1,19.9,44.1,5.4,2,218.9,18.7,0.41,-1.46,-1.25,-1.74,Severe
19/02/2016,Lusaka,Mount Makulu,5.1,30.4,21.2,56.7,6.1,1.4,187.5,31.8,0.45,-0.94,-0.58,-0.73,Moderate
20/02/2016,Eastern,Msekera,4.5,29.3,23.3,87.5,4.8,1.7,234.2,36.2,0.52,0.84,1.06,1.09,No drought
21/02/2016,Luapula,Samfya,11.4,30.6,21.6,85.8,3.1,3.8,209.7,37.7,0.59,-0.06,0.08,-0.05,No drought
22/02/2016,Copperbelt,Kafironda,5.8,29.1,19.2,57,5.9,1.3,211.5,26.2,0.54,1.55,1.25,1.63,No drought
23/02/2016,Northern,Mbala,8.9,33.2,22.6,89.9,4.4,4.1,220.2,24.4,0.49,-0.67,-0.38,-0.2,Moderate
24/02/2016,Copperbelt,Ndola,3.4,27.7,22.6,89.4,4.7,2.5,248,16.5,0.58,1.48,1.44,1.47,No drought
25/02/2016,Copperbelt,Ndola,9.5,31.5,22.9,51.5,3.7,1.9,198.6,33.4,0.41,2.13,2.02,1.88,No drought
26/02/2016,North-Western,Kasempa,22.8,35.4,24.3,53.3,3.5,4.6,275.6,35.9,0.54,0.99,1.39,0.94,No drought
27/02/2016,North-Western,Kasempa,5.4,30.7,22.2,64,5.4,4.3,214.8,30.3,0.47,0.88,0.81,1.06,No drought
28/02/2016,Southern,Choma,17.3,33.5,23.2,47.9,6.5,4.5,182.9,34.8,0.34,1.81,1.65,1.92,No drought
01/03/2016,Southern,Choma,9.6,30.1,23.3,71.7,5.2,4.1,190.7,32.8,0.46,-0.14,-0.08,0.04,No drought
02/03/2016,Luapula,Mansa,17.4,26.9,17.8,57.3,5.5,1.2,267.2,39.2,0.59,-0.84,-0.76,-0.37,Moderate
03/03/2016,Luapula,Samfya,2,23.4,12.8,74.7,3.9,1.3,248,29.6,0.38,0.98,0.96,1.53,No drought
04/03/2016,Central,Mkushi,6.9,31.1,25.9,72.6,4.5,4.5,227.3,39,0.36,0.51,0.6,0.68,No drought
05/03/2016,North-Western,Zambezi,9.7,32.1,23.7,45.9,3.5,3.7,223,16,0.45,0.19,0.05,0.44,No drought
06/03/2016,Southern,Livingstone,5.7,22.7,15.7,74.7,6.4,4.1,184,24.4,0.33,-0.01,-0.24,0.44,No drought
07/03/2016,Luapula,Mansa,6.8,28,22.4,59.8,3.5,3.3,248.9,34,0.36,2.1,2.28,2.12,No drought
08/03/2016,Central,Serenje,17.1,28.4,17.1,67.4,6.3,2.8,244.4,25.8,0.52,-0.98,-1.08,-1.08,Moderate
09/03/2016,Western,Sesheke,8.2,36.4,26.4,51.4,7,4.9,245,16,0.5,-0.39,-0.72,-0.27,No drought
10/03/2016,Southern,Magoye,9.9,33.1,23,64.3,6.5,4.6,222.2,18.3,0.48,2.21,2.49,2.02,No drought
11/03/2016,Copperbelt,Ndola,8.2,33.5,22.4,62.3,5.1,2.4,239.3,14.9,0.42,-1.94,-1.71,-2.08,Severe
12/03/2016,Luapula,Samfya,8.8,26.2,15.4,61.5,4,3.5,250.7,15,0.35,-0.48,-0.06,-0.37,No drought
13/03/2016,Western,Kaoma,7.9,29.9,18.3,42,3.5,2.8,273.4,19.5,0.45,1.37,1.44,1.67,No drought
14/03/2016,Western,Mongu,17.7,26.9,17.2,88.5,3.4,3.7,224.4,36,0.35,1.31,1.41,1.36,No drought
15/03/2016,Western,Senanga,17.7,33.6,24,59.7,5.6,1.4,245.8,40,0.31,-0.1,-0.03,0,No drought
16/03/2016,Muchinga,Chinsali,18.6,26.3,16,79.9,4.7,4.3,192,26.3,0.3,-1.64,-1.93,-1.16,Severe
17/03/2016,Lusaka,Chongwe,24.1,33,24.8,59,6.5,3.1,227.9,10.8,0.4,-2.08,-2.41,-1.77,Severe
18/03/2016,Copperbelt,Ndola,14.3,30.8,19.3,43,6.7,2.4,190.1,24.6,0.38,-1.48,-1.7,-1.43,Moderate
19/03/2016,Western,Mongu,3.5,29.3,19.5,49.1,5.1,3.8,190.7,27,0.38,-0.03,0.08,0.04,No drought
20/03/2016,Southern,Siavonga,8.7,30.1,23.6,70.5,4.6,4.4,270,20.6,0.37,-1.08,-0.9,-1.17,Moderate
21/03/2016,Copperbelt,Ndola,2.8,30.9,19.9,50.8,3.4,1.1,244.2,28.2,0.46,-0.84,-1.11,-0.87,Moderate
22/03/2016,North-Western,Kabompo,24.5,28.3,16.4,46.4,3.4,3.9,237.8,18.2,0.32,-0.87,-1.07,-1.06,Moderate
23/03/2016,Southern,Choma,9.9,25.3,15.7,66.6,4.3,2.3,246.9,39.8,0.5,2.51,2.59,2.3,No drought
24/03/2016,Copperbelt,Ndola,9.5,25.8,17.6,77.8,4.4,3.7,259.5,37.8,0.37,-1.64,-1.7,-1.28,Severe
25/03/2016,Copperbelt,Kafironda,9.2,29.5,19.5,41.8,4.2,2.1,216,12.6,0.58,-2.75,-2.65,-3.08,Severe
26/03/2016,Lusaka,Mount Makulu,8.9,29.7,18.6,83.4,6.2,4.2,210.5,12.4,0.42,0.8,0.62,0.81,No drought
27/03/2016,Luapula,Kawambwa,8.2,32.5,22.1,48.7,5,2.6,194.6,21,0.32,0.08,0.19,0.06,No drought
28/03/2016,Lusaka,Lusaka,2.7,31.8,22.2,47.6,3.2,4.1,226,11.7,0.6,0.22,0.15,0.04,No drought
29/03/2016,Lusaka,Lusaka,11.5,33.6,24.2,66.4,4.7,1.5,268.7,23.5,0.36,-1.76,-2.12,-1.6,Severe
30/03/2016,Eastern,Msekera,5.3,31.2,24.7,40.6,4,4.9,260.2,38.8,0.45,0.18,-0.01,0.54,No drought
31/03/2016,North-Western,Kabompo,7.3,35.1,27.3,63,6.1,4.6,275.5,33.6,0.39,-0.91,-0.54,-0.71,Moderate
01/04/2016,Copperbelt,Ndola,14.1,30.9,21.6,43.3,5.1,1.6,253.7,25.4,0.5,-0.55,-0.51,-0.95,Moderate
02/04/2016,Muchinga,Isoka,18.6,32.2,27.1,44.1,6.9,2.2,256.9,28.7,0.41,-0.48,-0.53,-0.08,No drought
03/04/2016,Eastern,Chipata,4.8,32.8,23.6,69.1,6,4.2,245.6,13.8,0.4,-1.57,-1.96,-0.95,Severe
04/04/2016,Central,Mkushi,10.5,32.4,21.7,83.1,6.4,4.7,205.2,32.7,0.44,0.74,0.89,0.94,No drought
05/04/2016,Copperbelt,Kitwe,11.2,28,21.5,65.3,6.4,3.9,234.2,27.7,0.45,0.85,0.5,1.08,No drought
06/04/2016,Northern,Misamfu,7.1,27.4,21,67.8,5.9,3.5,198.8,20.7,0.54,-0.2,-0.2,-0.44,No drought
07/04/2016,Luapula,Mansa,13.9,28.9,21.3,62.4,5.9,4.5,239.3,21.7,0.42,-2.29,-2.04,-2.46,Severe
08/04/2016,Central,Kabwe,30,33.6,23,53.5,6.3,3,187.7,11.8,0.4,1.04,1.23,1.07,No drought
09/04/2016,Northern,Misamfu,7.8,29.6,19.5,89.9,6.7,3.6,222.1,29.1,0.54,-0.34,-0.53,-0.45,No drought
10/04/2016,Copperbelt,Kitwe,9.3,24.7,13.1,53,4.7,4.5,264.2,15.6,0.54,-1.75,-2.32,-1.76,Severe
11/04/2016,Luapula,Mansa,3.4,30.9,21.3,87.8,3.3,1.2,208.2,17.9,0.37,-0.34,-0.27,-0.07,No drought
12/04/2016,Luapula,Mansa,0.4,32.7,21.4,41.1,5.7,4.9,236,38.1,0.32,-2.34,-2.45,-2.1,Severe
13/04/2016,Northern,Mbala,1.7,33.5,27.4,51.3,4,4.4,236.1,25.7,0.33,0.64,0.78,0.69,No drought
14/04/2016,Lusaka,Chongwe,11.5,32.7,24.8,72.5,5.2,1.2,231.3,34.2,0.44,-0.97,-1.13,-1.11,Moderate
15/04/2016,Southern,Siavonga,6.6,25.3,14.9,41.4,3.3,2.9,270.9,26.2,0.45,0.45,0.3,0.32,No drought
